method,training_seed,episode_count,captured,episode_length,mean_target_distance,mean_hunter_separation,simultaneous_adjacency_fraction,distinct_side_fraction
Random,0,500,0.066,96.288,6.495081495703974,6.666799099658026,0.003921130338549829,0.003921130338549829
Random,1,500,0.05,96.936,6.5227384629806515,6.650378708187843,0.003697680299759974,0.003697680299759974
Random,2,500,0.068,95.91,6.530229790628957,6.740935263673729,0.003986064679787926,0.003986064679787926
Random,3,500,0.068,96.116,6.560350648270633,6.64598420969225,0.003337971766985049,0.003337971766985049
Random,4,500,0.078,95.744,6.500214434371433,6.632220853255093,0.003808858079460942,0.003808858079460942
Heuristic,0,500,0.372,65.674,2.5992534187516156,2.6920195231030943,0.0537194690070851,0.0537194690070851
Heuristic,1,500,0.354,67.318,2.5766199950080826,2.596022189353372,0.04823817252578863,0.04823817252578863
Heuristic,2,500,0.366,66.29,2.601091547840143,2.7440497463175535,0.04988205813794049,0.04988205813794049
Heuristic,3,500,0.384,64.612,2.6561145930259595,2.827451913243667,0.05127466875230033,0.05127466875230033
Heuristic,4,500,0.342,68.514,2.5829233979990556,2.5532202688722245,0.047543851203835724,0.047543851203835724
Independent Q-Learning,0,500,0.998,19.194,3.525521283494504,3.9650810889118935,0.07447830699520017,0.07447830699520017
Independent Q-Learning,1,500,1.0,20.288,3.503914592438227,3.96599112403069,0.06912029315927903,0.06912029315927903
Independent Q-Learning,2,500,1.0,19.898,3.55951405047785,4.23067983580098,0.07201292768960817,0.07201292768960817
Independent Q-Learning,3,500,1.0,21.144,3.5788118690895887,4.1255959574199546,0.06620415834281192,0.06620415834281192
Independent Q-Learning,4,500,0.998,20.862,3.5141021594956414,3.939064677880475,0.06800017479390816,0.06800017479390816
Cooperative Q-Learning,0,500,1.0,16.992,4.054906791373738,4.490399584080267,0.08038708256420536,0.08038708256420536
Cooperative Q-Learning,1,500,1.0,16.19,4.069014380841078,4.366553556722575,0.08106417911550627,0.08106417911550627
Cooperative Q-Learning,2,500,1.0,16.606,4.030786551776042,4.392971191996643,0.07787151382000367,0.07787151382000367
Cooperative Q-Learning,3,500,1.0,17.324,4.137499148488316,4.637096338684702,0.07576172275489622,0.07576172275489622
Cooperative Q-Learning,4,500,1.0,17.094,4.05107568325464,4.355781846844216,0.07493315695043702,0.07493315695043702
