method,training_seed,capture_rate,episode_length,capture_time,episode_reward
Random,0,0.066,96.288,43.75757575757576,-2.6864000000000026
Random,1,0.05,96.936,38.72,-3.3408000000000033
Random,2,0.068,95.91,39.85294117647059,-2.603500000000003
Random,3,0.068,96.116,42.88235294117647,-2.101800000000003
Random,4,0.078,95.744,45.43589743589744,-2.055200000000002
Heuristic,0,0.372,65.674,7.725806451612903,14.322299999999986
Heuristic,1,0.354,67.318,7.677966101694915,13.644099999999986
Heuristic,2,0.366,66.29,7.896174863387978,14.103499999999988
Heuristic,3,0.384,64.612,7.84375,14.685399999999989
Heuristic,4,0.342,68.514,7.935672514619883,13.616299999999987
Independent Q-Learning,0,0.998,19.194,19.03206412825651,30.316299999999995
Independent Q-Learning,1,1.0,20.288,20.288,30.211599999999997
Independent Q-Learning,2,1.0,19.898,19.898,30.325099999999996
Independent Q-Learning,3,1.0,21.144,21.144,30.364799999999995
Independent Q-Learning,4,0.998,20.862,20.703406813627254,30.378899999999998
Cooperative Q-Learning,0,1.0,16.992,16.992,30.4684
Cooperative Q-Learning,1,1.0,16.19,16.19,30.416499999999996
Cooperative Q-Learning,2,1.0,16.606,16.606,30.489699999999996
Cooperative Q-Learning,3,1.0,17.324,17.324,30.555799999999998
Cooperative Q-Learning,4,1.0,17.094,17.094,30.609299999999998
